Push,Senden
"Text to display for each price ranges : use {min} and {max} codes to include values in your text","Angezeigter Text für jede Preissklasse: benutzen Sie {min} und {max} Codes um die Werte in Ihrem Text umzufassen"
"Sort options","Sortierung Optionen"
"Select sort options available in sort drop down menu","Wählen Sie Sortierung Optionen verfügbar in der Dropdown-Liste"
"Default sort","Standard Sortierung"
"Default sort to apply","Standard Sortierung zu verwenden"
Merchandising,Merchandising
"Promote redirect","Promote Umleitung"
"Allows you to choose how Promote campaigns created in Antidot Back-Office are used to redirect search towards internal urls","Hiermit können Sie wählen wie die im Antidot Back-Office erstellten Promote Kampagnen verwandet sind, um den Besucher zu den Zielseiten Ihrer Website umzuleiten."
"On-demand Data Upload","Datenupload auf Anfrage"
"Push products","Katalog senden"
"Manually push products index to AFS@Store (usefull when you change configuration above)","Den Katalog manuell für die Indexierung AFS@Store senden (nützlich bei Konfigurationsänderungen)"
"Data upload report","Datenupload Bericht"
"Last index push history logs","Journal der letzten Datenübertragungen"
Price,Preis
categories,kategorien
products,produkte
brands,marke
Ascending,Aufsteigend
Descending,Absteigend
Disable,Deaktivieren
Enable,Ermöglichen
All,Alle
"Only when no result","Nur wenn keine Ergebnisse"
Always,Immer
Relevance,Relevanz
Position,Position
Name,Name
Price,Preis
"Is promotional",Förgerung
"Is new",Neuigkeiten
"Is top sale",Spitzenverkaufs
"Is featured",Hervorgehoben
"Additional fields for plain text indexation","Zusätzliche Felder für Volltextindexierung"
